,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
0,0.0614,0.058,2,-20.976,1,0.0418,0.918,0.915,0.149,0.0329,58.193,audio_features,3ddAtoSripaeASJeovlIsg,spotify:track:3ddAtoSripaeASJeovlIsg,https://api.spotify.com/v1/tracks/3ddAtoSripaeASJeovlIsg,https://api.spotify.com/v1/audio-analysis/3ddAtoSripaeASJeovlIsg,1463704,4,Stiafen
1,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,audio_features,1Oo7XEqkrwifJn17aA0ocF,spotify:track:1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/tracks/1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/audio-analysis/1Oo7XEqkrwifJn17aA0ocF,378733,4,Stiafen
2,0.0877,0.0763,9,-23.986,1,0.0429,0.645,0.897,0.353,0.0509,78.535,audio_features,3o9br9LskOEbwc5irxfHqR,spotify:track:3o9br9LskOEbwc5irxfHqR,https://api.spotify.com/v1/tracks/3o9br9LskOEbwc5irxfHqR,https://api.spotify.com/v1/audio-analysis/3o9br9LskOEbwc5irxfHqR,295219,4,Stiafen
3,0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,audio_features,5TtmI9sfXw4VXco0PE21mV,spotify:track:5TtmI9sfXw4VXco0PE21mV,https://api.spotify.com/v1/tracks/5TtmI9sfXw4VXco0PE21mV,https://api.spotify.com/v1/audio-analysis/5TtmI9sfXw4VXco0PE21mV,132120,5,Stiafen
4,0.428,0.003,0,-31.005,1,0.0709,0.995,0.924,0.0889,0.0934,69.108,audio_features,6aD8MeXrjHNz7YgrTLHhyA,spotify:track:6aD8MeXrjHNz7YgrTLHhyA,https://api.spotify.com/v1/tracks/6aD8MeXrjHNz7YgrTLHhyA,https://api.spotify.com/v1/audio-analysis/6aD8MeXrjHNz7YgrTLHhyA,407947,3,Stiafen
5,0.24,0.146,0,-17.554,0,0.0417,0.874,0.379,0.136,0.066,103.091,audio_features,5xCHmCizjJ4ptpftvJ8Rlf,spotify:track:5xCHmCizjJ4ptpftvJ8Rlf,https://api.spotify.com/v1/tracks/5xCHmCizjJ4ptpftvJ8Rlf,https://api.spotify.com/v1/audio-analysis/5xCHmCizjJ4ptpftvJ8Rlf,480520,4,Stiafen
6,0.0888,0.137,7,-21.913,1,0.0467,0.374,0.934,0.413,0.039,86.31,audio_features,5jBOXLFwBG0OWgq4heejqJ,spotify:track:5jBOXLFwBG0OWgq4heejqJ,https://api.spotify.com/v1/tracks/5jBOXLFwBG0OWgq4heejqJ,https://api.spotify.com/v1/audio-analysis/5jBOXLFwBG0OWgq4heejqJ,310000,3,Stiafen
7,0.0691,0.0188,8,-31.77,1,0.0433,0.966,0.929,0.0671,0.0368,75.967,audio_features,1cdNMfQzAhyChjFUwXfYxL,spotify:track:1cdNMfQzAhyChjFUwXfYxL,https://api.spotify.com/v1/tracks/1cdNMfQzAhyChjFUwXfYxL,https://api.spotify.com/v1/audio-analysis/1cdNMfQzAhyChjFUwXfYxL,519027,3,Stiafen
8,0.072,0.0348,3,-23.829,1,0.0469,0.928,0.864,0.0857,0.0343,79.491,audio_features,6L1ya2i7ploS0eR2PIYOzq,spotify:track:6L1ya2i7ploS0eR2PIYOzq,https://api.spotify.com/v1/tracks/6L1ya2i7ploS0eR2PIYOzq,https://api.spotify.com/v1/audio-analysis/6L1ya2i7ploS0eR2PIYOzq,367600,3,Stiafen
9,0.412,0.00447,2,-41.052,0,0.0479,0.994,0.959,0.085,0.0726,66.479,audio_features,3ZWAtpmC9UdjIZtiZ2dwp0,spotify:track:3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/tracks/3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/audio-analysis/3ZWAtpmC9UdjIZtiZ2dwp0,83011,5,Stiafen
